127.0.0.1 - - [16/May/2015:17:49:12 +1200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/May/2015:17:53:01 +1200] "GET /BreadCrumbs/rest/login/saveTrail/Trail1/This%20is%20a%20test%20trail/52 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [16/May/2015:17:53:17 +1200] "GET /BreadCrumbs/rest/login/saveTrail/Bruh/This%20is%20a%20test%20trail/52 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:17:56:47 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/52 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:00:49 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/52 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:00:49 +1200] "GET /BreadCrumbs/rest/Search/TrailSearch/T HTTP/1.1" 200 420
192.168.1.77 - - [16/May/2015:18:00:54 +1200] "GET /BreadCrumbs/rest/Search/TrailSearch/Te HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:00:54 +1200] "GET /BreadCrumbs/rest/Search/TrailSearch/Te HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:00:56 +1200] "GET /BreadCrumbs/rest/Search/TrailSearch/T HTTP/1.1" 200 420
192.168.1.77 - - [16/May/2015:18:00:57 +1200] "GET /BreadCrumbs/rest/Search/TrailSearch/Tr HTTP/1.1" 200 420
192.168.1.77 - - [16/May/2015:18:00:59 +1200] "GET /BreadCrumbs/rest/User/PinTrailForUser/52/47 HTTP/1.1" 200 17
192.168.1.77 - - [16/May/2015:18:01:01 +1200] "GET /BreadCrumbs/rest/User/PinTrailForUser/52/45 HTTP/1.1" 200 17
192.168.1.77 - - [16/May/2015:18:01:02 +1200] "GET /BreadCrumbs/rest/User/PinTrailForUser/52/53 HTTP/1.1" 200 17
192.168.1.77 - - [16/May/2015:18:01:02 +1200] "GET /BreadCrumbs/rest/User/PinTrailForUser/52/46 HTTP/1.1" 200 17
192.168.1.77 - - [16/May/2015:18:01:05 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/52 HTTP/1.1" 200 328
192.168.1.77 - - [16/May/2015:18:01:05 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/52 HTTP/1.1" 200 328
192.168.1.77 - - [16/May/2015:18:01:18 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/52 HTTP/1.1" 200 328
192.168.1.77 - - [16/May/2015:18:01:19 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/47 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:01:20 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/46 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:01:20 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/45 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:01:20 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/53 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:01:38 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/52 HTTP/1.1" 200 328
192.168.1.77 - - [16/May/2015:18:01:39 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/47 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:01:39 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/46 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:01:39 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/45 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:01:39 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/53 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:01:45 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/52 HTTP/1.1" 200 328
192.168.1.77 - - [16/May/2015:18:01:46 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/47 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:01:46 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/46 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:01:46 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/45 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:01:46 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/53 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:06:49 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/52 HTTP/1.1" 200 328
192.168.1.77 - - [16/May/2015:18:06:51 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/47 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:06:51 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/46 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:06:51 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/45 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:06:51 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/53 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:06:53 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/52 HTTP/1.1" 200 328
192.168.1.77 - - [16/May/2015:18:06:54 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/47 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:06:54 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/46 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:06:55 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/45 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:06:55 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/53 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:07:13 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/52 HTTP/1.1" 200 328
192.168.1.77 - - [16/May/2015:18:43:05 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/52 HTTP/1.1" 200 328
192.168.1.77 - - [16/May/2015:18:43:06 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/47 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:43:06 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/46 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:43:06 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/45 HTTP/1.1" 200 12
192.168.1.77 - - [16/May/2015:18:43:06 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/53 HTTP/1.1" 200 12
