127.0.0.1 - - [04/Jun/2015:23:42:42 +1200] "GET / HTTP/1.1" 404 951
192.168.1.70 - - [04/Jun/2015:23:42:56 +1200] "GET /BreadCrumbs/rest/login/GetAllTrails HTTP/1.1" 200 251
192.168.1.70 - - [04/Jun/2015:23:42:57 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/10 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:42:57 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/10 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:42:58 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/1 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:42:58 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/1 HTTP/1.1" 200 710
192.168.1.70 - - [04/Jun/2015:23:42:58 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/12 HTTP/1.1" 200 96
192.168.1.70 - - [04/Jun/2015:23:42:58 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/12 HTTP/1.1" 200 579
192.168.1.70 - - [04/Jun/2015:23:43:23 +1200] "GET /BreadCrumbs/rest/login/saveTrail/t3/test/81 HTTP/1.1" 500 3311
192.168.1.70 - - [04/Jun/2015:23:44:34 +1200] "GET /BreadCrumbs/rest/login/CreateNewUser/kloin/7873/0/M HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:44:34 +1200] "GET /BreadCrumbs/rest/login/GetAllTrails HTTP/1.1" 200 325
192.168.1.70 - - [04/Jun/2015:23:44:35 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/18 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:44:35 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/18 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:44:35 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/10 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:44:35 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/10 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:44:35 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/1 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:44:35 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/1 HTTP/1.1" 200 710
192.168.1.70 - - [04/Jun/2015:23:44:35 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/12 HTTP/1.1" 200 96
192.168.1.70 - - [04/Jun/2015:23:44:35 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/12 HTTP/1.1" 200 579
192.168.1.70 - - [04/Jun/2015:23:49:12 +1200] "GET /BreadCrumbs/rest/login/saveTrail/ttt/test/19 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:49:22 +1200] "POST /BreadCrumbs/rest/TrailManager/SaveTrailPoints/ HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:49:28 +1200] "GET /BreadCrumbs/rest/login/saveTrail/ttq/test/19 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:49:30 +1200] "GET /BreadCrumbs/rest/login/GetAllTrails HTTP/1.1" 200 473
192.168.1.70 - - [04/Jun/2015:23:49:31 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/18 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:49:32 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/18 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:49:32 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/10 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:49:32 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/10 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:49:32 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/1 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:49:32 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/1 HTTP/1.1" 200 710
192.168.1.70 - - [04/Jun/2015:23:49:32 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/20 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:49:32 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/20 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:49:32 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/21 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:49:32 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/21 HTTP/1.1" 200 12
192.168.1.70 - - [04/Jun/2015:23:49:32 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/12 HTTP/1.1" 200 96
