127.0.0.1 - - [26/Jan/2016:11:41:37 +1300] "GET / HTTP/1.1" 404 951
192.168.1.76 - - [26/Jan/2016:11:42:43 +1300] "GET /BreadCrumbs/rest/login/CreateNewUser/Kloin/0000/0/M/cj-x-cz5qMA:APA91bF4O1lyUQ3wTqx0_JHgbEI0X9m_0wBMQIEtmkhZ-dsspje5TSNOMeobwD1G8x9q3zkhI0fMOaD41XzljbrXWlX0X1n6_n0dmJA6eovgVG9pNA3t_cZh4e5iFsbqCZ7LJ9m3eoo1 HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:42:45 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 25
192.168.1.76 - - [26/Jan/2016:11:42:45 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/null/CoverPhotoId HTTP/1.1" 500 3549
192.168.1.76 - - [26/Jan/2016:11:42:46 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/null/CoverPhotoId HTTP/1.1" 500 3549
192.168.1.76 - - [26/Jan/2016:11:42:46 +1300] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/215 HTTP/1.1" 200 115
192.168.1.76 - - [26/Jan/2016:11:42:46 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Description HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:42:46 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Views HTTP/1.1" 200 11
192.168.1.76 - - [26/Jan/2016:11:42:46 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/214/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:43:02 +1300] "GET /BreadCrumbs/rest/TrailManager/AddTrailView/215 HTTP/1.1" 200 17
192.168.1.76 - - [26/Jan/2016:11:43:02 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/215 HTTP/1.1" 200 12
192.168.1.76 - - [26/Jan/2016:11:43:02 +1300] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/215 HTTP/1.1" 200 313
192.168.1.76 - - [26/Jan/2016:11:43:02 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/TrailName HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:43:09 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/TrailName HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:43:09 +1300] "GET /BreadCrumbs/rest/Crumb/GetLatitudeAndLogitudeForCrumb/216 HTTP/1.1" 200 63
192.168.1.76 - - [26/Jan/2016:11:43:09 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/216/Chat/ HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:43:11 +1300] "GET /BreadCrumbs/rest/login/LoadCommentsForEvent/216 HTTP/1.1" 200 235
192.168.1.76 - - [26/Jan/2016:11:43:11 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/214/Username HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:43:11 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/214/Username HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:43:11 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/214/Username HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:43:14 +1300] "GET /BreadCrumbs/rest/Crumb/UserLikesCrumb/216/null HTTP/1.1" 500 3518
192.168.1.76 - - [26/Jan/2016:11:43:15 +1300] "GET /BreadCrumbs/rest/Crumb/UserLikesCrumb/216/null HTTP/1.1" 500 3518
192.168.1.76 - - [26/Jan/2016:11:43:17 +1300] "GET /BreadCrumbs/rest/Crumb/UserLikesCrumb/216/null HTTP/1.1" 500 3518
192.168.1.76 - - [26/Jan/2016:11:47:55 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/TrailName HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:47:55 +1300] "GET /BreadCrumbs/rest/Crumb/GetLatitudeAndLogitudeForCrumb/216 HTTP/1.1" 200 63
192.168.1.76 - - [26/Jan/2016:11:47:56 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/216/Chat/ HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:48:29 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 25
192.168.1.76 - - [26/Jan/2016:11:48:29 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:48:29 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:48:32 +1300] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/215 HTTP/1.1" 200 115
192.168.1.76 - - [26/Jan/2016:11:48:33 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Description HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:48:33 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Views HTTP/1.1" 200 11
192.168.1.76 - - [26/Jan/2016:11:48:33 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:48:33 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/214/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:48:37 +1300] "GET /BreadCrumbs/rest/TrailManager/AddTrailView/215 HTTP/1.1" 200 17
192.168.1.76 - - [26/Jan/2016:11:48:37 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/215 HTTP/1.1" 200 12
192.168.1.76 - - [26/Jan/2016:11:48:38 +1300] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/215 HTTP/1.1" 200 313
192.168.1.76 - - [26/Jan/2016:11:48:38 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/TrailName HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:48:41 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/TrailName HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:48:41 +1300] "GET /BreadCrumbs/rest/Crumb/GetLatitudeAndLogitudeForCrumb/216 HTTP/1.1" 200 63
192.168.1.76 - - [26/Jan/2016:11:48:41 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/216/Chat/ HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:50:49 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 25
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/215 HTTP/1.1" 200 115
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Description HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Views HTTP/1.1" 200 11
192.168.1.76 - - [26/Jan/2016:11:50:53 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/214/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 25
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/215 HTTP/1.1" 200 115
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Description HTTP/1.1" 200 13
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Views HTTP/1.1" 200 11
192.168.1.76 - - [26/Jan/2016:11:51:15 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/214/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:56:26 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/220/CoverPhotoId HTTP/1.1" 200 15
192.168.1.76 - - [26/Jan/2016:11:56:28 +1300] "GET /BreadCrumbs/rest/TrailManager/AddTrailView/215 HTTP/1.1" 200 17
192.168.1.76 - - [26/Jan/2016:11:56:28 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/215 HTTP/1.1" 200 12
