127.0.0.1 - - [10/Feb/2016:08:55:24 +1300] "GET / HTTP/1.1" 404 951
192.168.1.93 - - [10/Feb/2016:08:58:23 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 391
192.168.1.93 - - [10/Feb/2016:08:58:23 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/269/CoverPhotoId HTTP/1.1" 200 -
192.168.1.93 - - [10/Feb/2016:08:58:23 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/269/CoverPhotoId HTTP/1.1" 200 -
192.168.1.93 - - [10/Feb/2016:08:58:24 +1300] "GET /BreadCrumbs/images/.jpg HTTP/1.1" 404 997
192.168.1.93 - - [10/Feb/2016:08:58:24 +1300] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/238 HTTP/1.1" 200 132
192.168.1.93 - - [10/Feb/2016:08:58:24 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/238/Description HTTP/1.1" 200 25
192.168.1.93 - - [10/Feb/2016:08:58:24 +1300] "GET /BreadCrumbs/images/0.jpg HTTP/1.1" 404 999
192.168.1.93 - - [10/Feb/2016:08:58:24 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/238/Views HTTP/1.1" 200 11
192.168.1.93 - - [10/Feb/2016:08:58:24 +1300] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/215 HTTP/1.1" 200 116
192.168.1.93 - - [10/Feb/2016:08:58:24 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Description HTTP/1.1" 200 13
192.168.1.93 - - [10/Feb/2016:08:58:24 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Views HTTP/1.1" 200 12
192.168.1.93 - - [10/Feb/2016:08:58:24 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/237/CoverPhotoId HTTP/1.1" 200 -
